Index,Raw path,Volume,Part,Section,Compile order
1,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0001.tif,Atlas Antarktiki I,,,2
2,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0002.tif,Atlas Antarktiki I,,,
3,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0003.tif,Atlas Antarktiki I,,,1
4,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0004.tif,Atlas Antarktiki I,,,
5,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0005.tif,Atlas Antarktiki I,,,
6,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0006.tif,Atlas Antarktiki I,,,
7,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0007.tif,Atlas Antarktiki I,,,3
8,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0008.tif,Atlas Antarktiki I,,,4
9,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0009.tif,Atlas Antarktiki I,,,5
10,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0010.tif,Atlas Antarktiki I,,,6
11,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0011.tif,Atlas Antarktiki I,,,7
12,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0012.tif,Atlas Antarktiki I,,,8
13,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0013.tif,Atlas Antarktiki I,,,9
14,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0014.tif,Atlas Antarktiki I,,,10
15,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0015.tif,Atlas Antarktiki I,,,11
16,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0016.tif,Atlas Antarktiki I,,,12
17,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0017.tif,Atlas Antarktiki I,,,13
18,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0018.tif,Atlas Antarktiki I,,,14
19,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0019.tif,Atlas Antarktiki I,,,15
20,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0020.tif,Atlas Antarktiki I,,,16
21,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0021.tif,Atlas Antarktiki I,,,17
22,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0022.tif,Atlas Antarktiki I,,,18
23,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0023.tif,Atlas Antarktiki I,,,19
24,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0024.tif,Atlas Antarktiki I,,,20
25,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0025.tif,Atlas Antarktiki I,,,21
26,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0026.tif,Atlas Antarktiki I,,,22
27,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0027.tif,Atlas Antarktiki I,,,23
28,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0028.tif,Atlas Antarktiki I,,,24
29,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0029.tif,Atlas Antarktiki I,,,25
30,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0030.tif,Atlas Antarktiki I,,,26
31,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0031.tif,Atlas Antarktiki I,,,27
32,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0032.tif,Atlas Antarktiki I,,,28
33,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0033.tif,Atlas Antarktiki I,,,29
34,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0034.tif,Atlas Antarktiki I,,,30
35,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0035.tif,Atlas Antarktiki I,,,31
