Index,Raw path,Volume,Part,Section,Compile order
1,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0001.tif,Atlas Antarktiki II,,,1
2,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0002.tif,Atlas Antarktiki II,,,
3,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0003.tif,Atlas Antarktiki II,,,
4,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0004.tif,Atlas Antarktiki II,,,
5,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0005.tif,Atlas Antarktiki II,,,2
6,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0006.tif,Atlas Antarktiki II,,,3
7,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0007.tif,Atlas Antarktiki II,,,4
8,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0008.tif,Atlas Antarktiki II,,,5
9,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0009.tif,Atlas Antarktiki II,,,6
10,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0010.tif,Atlas Antarktiki II,,,7
11,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0011.tif,Atlas Antarktiki II,,,8
12,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0012.tif,Atlas Antarktiki II,,,9
13,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0013.tif,Atlas Antarktiki II,,,10
14,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0014.tif,Atlas Antarktiki II,,,11
15,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0015.tif,Atlas Antarktiki II,,,
16,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0016.tif,Atlas Antarktiki II,,,12
17,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0017.tif,Atlas Antarktiki II,,,13
18,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0018.tif,Atlas Antarktiki II,,,
19,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0019.tif,Atlas Antarktiki II,,,14
20,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0020.tif,Atlas Antarktiki II,,,15
21,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0021.tif,Atlas Antarktiki II,,,16
